Weight,FatContent,ProductVisibility,ProductType,MRP,EstablishmentYear,OutletSize,LocationType,OutletType
9.6,LF,0.084937598,Baking Goods,105.028,2004,Small,Tier 2,Supermarket Type1
20.5,Low Fat,0.020601136,Fruits and Vegetables,91.683,2004,Small,Tier 2,Supermarket Type1
12.35,Regular,0.158439388,Meat,156.0946,2004,Small,Tier 2,Supermarket Type1
,Low Fat,0,Health and Hygiene,165.7842,1985,Medium,Tier 3,Supermarket Type3
15.75,Low Fat,0.135072801,Household,99.17,1997,Small,Tier 1,Supermarket Type1
19.2,Low Fat,0.035156307,Snack Foods,179.1318,1987,High,Tier 3,Supermarket Type1
,Low Fat,0.014509564,Fruits and Vegetables,157.4262,1985,Medium,Tier 3,Supermarket Type3
9.395,Regular,0.100315391,Baking Goods,85.8856,1987,High,Tier 3,Supermarket Type1
18.2,Low Fat,0.058420325,Household,221.4456,1987,High,Tier 3,Supermarket Type1
19,Low Fat,0.027096298,Household,128.6336,2009,Medium,Tier 3,Supermarket Type2
4.805,Regular,0.037912667,Dairy,125.8704,2007,,Tier 2,Supermarket Type1
8.85,Low Fat,0.016110572,Household,104.2964,2007,,Tier 2,Supermarket Type1
11.65,Regular,0.076158144,Snack Foods,82.9908,2009,Medium,Tier 3,Supermarket Type2
9.395,Low Fat,0.104338095,Snack Foods,236.8932,2007,,Tier 2,Supermarket Type1
9.695,Low Fat,0.129998012,Fruits and Vegetables,185.1898,1997,Small,Tier 1,Supermarket Type1
18.7,Regular,0,Frozen Foods,231.201,2002,,Tier 2,Supermarket Type1
20.75,LF,0.024247803,Fruits and Vegetables,123.973,2009,Medium,Tier 3,Supermarket Type2
8.89,Low Fat,0.005483027,Frozen Foods,100.4016,1999,Medium,Tier 1,Supermarket Type1
12.6,Low Fat,0.064371885,Health and Hygiene,119.8414,2009,Medium,Tier 3,Supermarket Type2
12.6,Low Fat,0.082684949,Household,176.6054,1987,High,Tier 3,Supermarket Type1
13.1,Regular,0.098984923,Frozen Foods,198.2768,2002,,Tier 2,Supermarket Type1
9.3,Regular,0.014016743,Snack Foods,196.8084,2004,Small,Tier 2,Supermarket Type1
,Regular,0.060880827,Meat,124.4388,1985,Medium,Tier 3,Supermarket Type3
17.7,Regular,0.068511767,Fruits and Vegetables,83.2276,1998,,Tier 3,Grocery Store
17.85,Low Fat,0,Snack Foods,127.502,2002,,Tier 2,Supermarket Type1
8.935,Low Fat,0.04017515,Frozen Foods,54.1298,2004,Small,Tier 2,Supermarket Type1
11.15,Low Fat,0.120441348,Dairy,43.7744,2009,Medium,Tier 3,Supermarket Type2
,Low Fat,0.045440803,Household,179.5976,1985,Small,Tier 1,Grocery Store
11.1,LF,0.135906738,Snack Foods,217.9482,2007,,Tier 2,Supermarket Type1
10,Low Fat,0.025973288,Canned,264.3226,2007,,Tier 2,Supermarket Type1
,Regular,0.23372937,Baking Goods,52.4298,1985,Small,Tier 1,Grocery Store
12.8,Low Fat,0.091552173,Others,107.1938,2007,,Tier 2,Supermarket Type1
9.895,Regular,0.028883289,Canned,116.6492,2007,,Tier 2,Supermarket Type1
13.35,Low Fat,0.03236252,Meat,62.0194,2007,,Tier 2,Supermarket Type1
7.785,Low Fat,0.139835844,Dairy,104.7306,2002,,Tier 2,Supermarket Type1
,Low Fat,0.049810328,Health and Hygiene,129.2336,1985,Medium,Tier 3,Supermarket Type3
16.35,Low Fat,0.068466049,Fruits and Vegetables,197.1426,2007,,Tier 2,Supermarket Type1
11.5,Low Fat,0.073178424,Fruits and Vegetables,189.153,2009,Medium,Tier 3,Supermarket Type2
15.2,Low Fat,0.113535259,Soft Drinks,36.0848,2007,,Tier 2,Supermarket Type1
19.35,Low Fat,0.026222599,Fruits and Vegetables,169.0474,1999,Medium,Tier 1,Supermarket Type1
19.5,Regular,0,Soft Drinks,233.1958,1997,Small,Tier 1,Supermarket Type1
16.1,Regular,0.01361686,Fruits and Vegetables,107.2596,1999,Medium,Tier 1,Supermarket Type1
,Low Fat,0.023770288,Soft Drinks,107.728,1985,Medium,Tier 3,Supermarket Type3
18.5,Regular,0.045720935,Dairy,145.6102,2007,,Tier 2,Supermarket Type1
,Low Fat,0.097145513,Starchy Foods,223.8746,1985,Medium,Tier 3,Supermarket Type3
15.1,Regular,0.099858247,Fruits and Vegetables,146.4786,1997,Small,Tier 1,Supermarket Type1
17.25,Regular,0.047339698,Snack Foods,96.5068,1999,Medium,Tier 1,Supermarket Type1
19,LF,0.129596025,Household,190.5872,2002,,Tier 2,Supermarket Type1
10.6,Regular,0.033024663,Breakfast,49.3008,1987,High,Tier 3,Supermarket Type1
,Low Fat,0.195963464,Frozen Foods,105.1622,1985,Small,Tier 1,Grocery Store
15.2,Low Fat,0.112875322,Soft Drinks,37.2848,2004,Small,Tier 2,Supermarket Type1
5.845,Regular,0.104930609,Frozen Foods,212.3218,1987,High,Tier 3,Supermarket Type1
6.57,Low Fat,0.097275225,Household,192.682,2009,Medium,Tier 3,Supermarket Type2
21.1,Low Fat,0.010623794,Household,235.4958,2002,,Tier 2,Supermarket Type1
4.88,Regular,0.134248297,Baking Goods,54.9298,2007,,Tier 2,Supermarket Type1
19.35,Low Fat,0.033139916,Meat,175.4738,1999,Medium,Tier 1,Supermarket Type1
11.1,Low Fat,0.044786137,Snack Foods,173.4054,1987,High,Tier 3,Supermarket Type1
19.35,Low Fat,0.197679823,Snack Foods,224.6088,1998,,Tier 3,Grocery Store
9.395,Regular,0.171042873,Fruits and Vegetables,139.9838,2004,Small,Tier 2,Supermarket Type1
8.1,Regular,0.019764765,Canned,86.6198,2004,Small,Tier 2,Supermarket Type1
9.1,LF,0.080455726,Household,47.3718,2002,,Tier 2,Supermarket Type1
9.395,Regular,0.109540783,Soft Drinks,41.9112,2009,Medium,Tier 3,Supermarket Type2
6.59,Low Fat,0.026291649,Household,121.7098,2009,Medium,Tier 3,Supermarket Type2
15.6,Low Fat,0.173299972,Fruits and Vegetables,113.3518,2009,Medium,Tier 3,Supermarket Type2
20.85,Low Fat,0.021325759,Fruits and Vegetables,104.6306,2004,Small,Tier 2,Supermarket Type1
17.7,Regular,0.042441097,Frozen Foods,163.221,1987,High,Tier 3,Supermarket Type1
12.35,reg,0,Meat,158.8946,1997,Small,Tier 1,Supermarket Type1
11,Regular,0.057381292,Fruits and Vegetables,241.2512,2007,,Tier 2,Supermarket Type1
,Regular,0.017277445,Meat,150.7366,1985,Small,Tier 1,Grocery Store
,LF,0.047249645,Household,126.7336,1985,Small,Tier 1,Grocery Store
,Low Fat,0.046408928,Meat,153.5682,1985,Medium,Tier 3,Supermarket Type3
15.1,Regular,0.067456225,Snack Foods,257.5304,2007,,Tier 2,Supermarket Type1
10.3,Low Fat,0.027315417,Fruits and Vegetables,98.7042,1997,Small,Tier 1,Supermarket Type1
7.035,Low Fat,0.021972988,Frozen Foods,264.091,2007,,Tier 2,Supermarket Type1
12.65,Low Fat,0.059270332,Baking Goods,229.101,1998,,Tier 3,Grocery Store
15.15,Low Fat,0.027936385,Baking Goods,151.1708,2007,,Tier 2,Supermarket Type1
19.75,Low Fat,0.033958586,Snack Foods,212.0902,2002,,Tier 2,Supermarket Type1
5.34,Regular,0.005973153,Snack Foods,99.0358,1999,Medium,Tier 1,Supermarket Type1
12,Low Fat,0.033968012,Canned,181.0976,2004,Small,Tier 2,Supermarket Type1
6.28,Low Fat,0.027861814,Soft Drinks,85.5198,2007,,Tier 2,Supermarket Type1
,Low Fat,0.134564284,Fruits and Vegetables,42.7086,1985,Small,Tier 1,Grocery Store
10,Low Fat,0.099851786,Snack Foods,111.7544,2002,,Tier 2,Supermarket Type1
,Low Fat,0.280083047,Snack Foods,92.712,1985,Small,Tier 1,Grocery Store
19.5,Low Fat,0.026320247,Household,184.9608,1998,,Tier 3,Grocery Store
10.695,Regular,0.060665739,Breakfast,173.7712,1997,Small,Tier 1,Supermarket Type1
17,Low Fat,0.052290474,Health and Hygiene,122.873,1999,Medium,Tier 1,Supermarket Type1
6.78,Regular,0.140447292,Baking Goods,93.312,2002,,Tier 2,Supermarket Type1
12.8,Regular,0.079076331,Dairy,183.7608,1997,Small,Tier 1,Supermarket Type1
15.7,Regular,0.030599358,Snack Foods,251.4724,1987,High,Tier 3,Supermarket Type1
17.7,Low Fat,0.051042366,Household,126.1678,2002,,Tier 2,Supermarket Type1
,Low Fat,0.123745045,Snack Foods,175.337,1985,Small,Tier 1,Grocery Store
19.85,Low Fat,0.04592756,Fruits and Vegetables,127.902,2007,,Tier 2,Supermarket Type1
16.25,Regular,0.048975573,Fruits and Vegetables,151.0682,1997,Small,Tier 1,Supermarket Type1
9.395,Regular,0.13177444,Frozen Foods,87.7198,1999,Medium,Tier 1,Supermarket Type1
16.85,Regular,0,Snack Foods,111.0544,2002,,Tier 2,Supermarket Type1
,Low Fat,0.068788985,Snack Foods,110.8228,1985,Medium,Tier 3,Supermarket Type3
10.1,Low Fat,0.05630601,Household,117.1492,2009,Medium,Tier 3,Supermarket Type2
12.15,Low Fat,0.025864429,Starchy Foods,121.844,1997,Small,Tier 1,Supermarket Type1
10.895,Low Fat,0.02704266,Others,49.4666,2004,Small,Tier 2,Supermarket Type1
,Regular,0.124994714,Frozen Foods,100.5358,1985,Medium,Tier 3,Supermarket Type3
,Regular,0.189512493,Dairy,97.7752,1985,Small,Tier 1,Grocery Store
17.1,Low Fat,0.038737554,Household,164.7842,1997,Small,Tier 1,Supermarket Type1
19.75,Low Fat,0.012445941,Fruits and Vegetables,187.8872,2004,Small,Tier 2,Supermarket Type1
15.85,Low Fat,0.05740255,Snack Foods,53.0956,1999,Medium,Tier 1,Supermarket Type1
14.85,Low Fat,0.018609305,Canned,187.1214,2002,,Tier 2,Supermarket Type1
16.25,Low Fat,0.078327268,Canned,90.9804,2002,,Tier 2,Supermarket Type1
15.1,Low Fat,0.093464804,Household,140.8496,1998,,Tier 3,Grocery Store
16.35,Low Fat,0.090702992,Household,195.111,1999,Medium,Tier 1,Supermarket Type1
13.15,Low Fat,0.024751688,Household,178.2686,2009,Medium,Tier 3,Supermarket Type2
7.71,Regular,0.0667322,Snack Foods,56.2956,2002,,Tier 2,Supermarket Type1
14.85,Low Fat,0.018647294,Canned,187.5214,2009,Medium,Tier 3,Supermarket Type2
8.775,Low Fat,0.021603383,Fruits and Vegetables,112.2228,1997,Small,Tier 1,Supermarket Type1
,Low Fat,0.065799906,Health and Hygiene,101.1042,1985,Small,Tier 1,Grocery Store
8.1,Low Fat,0,Fruits and Vegetables,213.2902,1999,Medium,Tier 1,Supermarket Type1
8.775,Low Fat,0.109890489,Dairy,45.0428,2004,Small,Tier 2,Supermarket Type1
,Regular,0.017093789,Snack Foods,224.0404,1985,Small,Tier 1,Grocery Store
,LF,0.16898615,Canned,184.2266,1985,Medium,Tier 3,Supermarket Type3
15.5,Regular,0.026302004,Fruits and Vegetables,102.7332,1997,Small,Tier 1,Supermarket Type1
,Regular,0.105155137,Fruits and Vegetables,43.2796,1985,Medium,Tier 3,Supermarket Type3
7.785,Low Fat,0.088708388,Fruits and Vegetables,65.051,1997,Small,Tier 1,Supermarket Type1
6.635,Regular,0.00632491,Baking Goods,119.1098,2004,Small,Tier 2,Supermarket Type1
17.75,Regular,0.029629236,Fruits and Vegetables,140.1838,1987,High,Tier 3,Supermarket Type1
12.15,Low Fat,0.064924087,Others,251.204,2009,Medium,Tier 3,Supermarket Type2
10.1,Low Fat,0.167123591,Soft Drinks,243.5512,2004,Small,Tier 2,Supermarket Type1
13.35,Low Fat,0.017813048,Dairy,77.0012,1999,Medium,Tier 1,Supermarket Type1
18.85,Low Fat,0.04045348,Household,247.0144,2002,,Tier 2,Supermarket Type1
21.1,Regular,0.161370557,Fruits and Vegetables,64.0168,1987,High,Tier 3,Supermarket Type1
6.305,Regular,0.123617286,Snack Foods,93.5436,2009,Medium,Tier 3,Supermarket Type2
6.63,Regular,0.104021582,Baking Goods,164.85,1997,Small,Tier 1,Supermarket Type1
12.1,Low Fat,0.067549872,Fruits and Vegetables,178.3002,1998,,Tier 3,Grocery Store
7.26,Low Fat,0.01441152,Meat,118.415,1987,High,Tier 3,Supermarket Type1
9.5,Regular,0.010961524,Snack Foods,184.4608,2009,Medium,Tier 3,Supermarket Type2
,Low Fat,0.087294906,Snack Foods,219.1798,1985,Medium,Tier 3,Supermarket Type3
16.75,Regular,0.014338639,Meat,75.7038,1998,,Tier 3,Grocery Store
7.365,Low Fat,0.159834724,Snack Foods,92.512,1987,High,Tier 3,Supermarket Type1
15.7,Regular,0.008753653,Meat,205.698,2002,,Tier 2,Supermarket Type1
17.2,Regular,0.012061003,Canned,166.4184,2009,Medium,Tier 3,Supermarket Type2
6.195,Regular,0.109596256,Baking Goods,118.8098,2002,,Tier 2,Supermarket Type1
21.2,Low Fat,0,Snack Foods,176.137,1999,Medium,Tier 1,Supermarket Type1
6.785,Regular,0.042047755,Meat,44.6112,1999,Medium,Tier 1,Supermarket Type1
13.6,Regular,0.049791265,Frozen Foods,108.7912,2009,Medium,Tier 3,Supermarket Type2
8.85,Low Fat,0.054086343,Fruits and Vegetables,182.2292,2009,Medium,Tier 3,Supermarket Type2
15.6,Regular,0.035476594,Snack Foods,112.4518,1987,High,Tier 3,Supermarket Type1
16.75,Low Fat,0.060534179,Dairy,169.4106,2004,Small,Tier 2,Supermarket Type1
14.15,Low Fat,0.034874689,Snack Foods,242.2828,1997,Small,Tier 1,Supermarket Type1
,Low Fat,0.066403009,Others,186.6924,1985,Medium,Tier 3,Supermarket Type3
6.575,Regular,0.075815345,Breads,144.6444,2009,Medium,Tier 3,Supermarket Type2
5.98,Low Fat,0.072915282,Fruits and Vegetables,145.1418,1998,,Tier 3,Grocery Store
5.63,Regular,0.041077066,Meat,106.5306,1998,,Tier 3,Grocery Store
20.7,Low Fat,0.169808455,Canned,183.4266,1997,Small,Tier 1,Supermarket Type1
11,Low Fat,0.106435421,Breads,125.7046,2007,,Tier 2,Supermarket Type1
6.03,Low Fat,0.022749737,Dairy,175.7028,2002,,Tier 2,Supermarket Type1
18.6,Low Fat,0.152029528,Breakfast,99.3358,2004,Small,Tier 2,Supermarket Type1
,Regular,0.01214561,Fruits and Vegetables,59.7904,1985,Medium,Tier 3,Supermarket Type3
10.3,Regular,0.011124197,Snack Foods,87.454,2004,Small,Tier 2,Supermarket Type1
20.25,Regular,0.018834342,Fruits and Vegetables,222.3772,1999,Medium,Tier 1,Supermarket Type1
16.7,Regular,0,Baking Goods,99.6384,1999,Medium,Tier 1,Supermarket Type1
7.315,Low Fat,0.015289106,Snack Foods,151.134,1987,High,Tier 3,Supermarket Type1
10.1,Low Fat,0.056394771,Household,115.9492,2007,,Tier 2,Supermarket Type1
9.42,Regular,0,Frozen Foods,61.3194,1999,Medium,Tier 1,Supermarket Type1
6.135,Regular,0.079650513,Baking Goods,150.1366,2009,Medium,Tier 3,Supermarket Type2
,Low Fat,0.030359318,Others,181.166,1985,Medium,Tier 3,Supermarket Type3
,Low Fat,0.04316119,Household,176.4686,1985,Small,Tier 1,Grocery Store
20.5,LF,0.020721583,Fruits and Vegetables,91.183,2007,,Tier 2,Supermarket Type1
13.85,Low Fat,0.031515822,Others,37.948,2007,,Tier 2,Supermarket Type1
12.6,Regular,0.073858923,Dairy,253.2356,1987,High,Tier 3,Supermarket Type1
20.85,Regular,0.056785107,Breads,102.2648,2007,,Tier 2,Supermarket Type1
15.7,Low Fat,0,Baking Goods,250.6724,1999,Medium,Tier 1,Supermarket Type1
19.7,Low Fat,0.041908424,Frozen Foods,109.5912,2009,Medium,Tier 3,Supermarket Type2
12.15,Regular,0.058377105,Fruits and Vegetables,160.6552,1987,High,Tier 3,Supermarket Type1
15.85,Regular,0.184169331,Frozen Foods,38.6506,1998,,Tier 3,Grocery Store
,Regular,0.279663801,Frozen Foods,35.6558,1985,Small,Tier 1,Grocery Store
14,Regular,0.042042857,Snack Foods,53.864,2002,,Tier 2,Supermarket Type1
15.5,Regular,0.100765839,Fruits and Vegetables,196.0768,1997,Small,Tier 1,Supermarket Type1
11.3,Low Fat,0.007291207,Meat,196.8426,1999,Medium,Tier 1,Supermarket Type1
,Regular,0.182980378,Canned,80.496,1985,Small,Tier 1,Grocery Store
5.695,Regular,0,Breads,256.4988,1998,,Tier 3,Grocery Store
16,Low Fat,0.057175809,Dairy,223.5404,2002,,Tier 2,Supermarket Type1
8.6,Low Fat,0.06969924,Household,92.6146,2009,Medium,Tier 3,Supermarket Type2
,Regular,0.120667057,Snack Foods,94.6752,1985,Medium,Tier 3,Supermarket Type3
7.475,Low Fat,0.148751515,Fruits and Vegetables,241.8854,1999,Medium,Tier 1,Supermarket Type1
9.5,Regular,0.133296733,Frozen Foods,229.8668,2007,,Tier 2,Supermarket Type1
13.65,Regular,0.013111823,Fruits and Vegetables,113.2834,2007,,Tier 2,Supermarket Type1
12.1,Low Fat,0.115052659,Baking Goods,222.6114,1999,Medium,Tier 1,Supermarket Type1
6.425,Low Fat,0.093644428,Fruits and Vegetables,174.3712,2002,,Tier 2,Supermarket Type1
7.39,Low Fat,0.092971061,Household,252.4066,2002,,Tier 2,Supermarket Type1
6.775,Low Fat,0.105245865,Household,81.925,1997,Small,Tier 1,Supermarket Type1
6.965,Low Fat,0.028664878,Household,159.0604,2009,Medium,Tier 3,Supermarket Type2
17.5,Low Fat,0.026142114,Snack Foods,256.3356,1997,Small,Tier 1,Supermarket Type1
16.6,Low Fat,0.027635129,Household,178.8344,2002,,Tier 2,Supermarket Type1
11.65,Regular,0.075786047,Snack Foods,85.3908,1987,High,Tier 3,Supermarket Type1
19.6,Regular,0.214306131,Snack Foods,166.7816,1998,,Tier 3,Grocery Store
,Low Fat,0.057118149,Fruits and Vegetables,124.8046,1985,Medium,Tier 3,Supermarket Type3
16.6,Low Fat,0.102967068,Fruits and Vegetables,118.8466,2004,Small,Tier 2,Supermarket Type1
,Low Fat,0.038549965,Household,164.2842,1985,Medium,Tier 3,Supermarket Type3
17.7,Low Fat,0.087945039,Dairy,183.3292,1999,Medium,Tier 1,Supermarket Type1
16.25,reg,0.048934817,Fruits and Vegetables,153.0682,1987,High,Tier 3,Supermarket Type1
11.6,Low Fat,0.040945898,Soft Drinks,142.9154,1997,Small,Tier 1,Supermarket Type1
9.6,Regular,0.023788808,Snack Foods,187.8872,1998,,Tier 3,Grocery Store
10.395,Regular,0.029861927,Dairy,86.6514,1987,High,Tier 3,Supermarket Type1
6.86,Low Fat,0.036611419,Household,230.201,2002,,Tier 2,Supermarket Type1
7.35,Low Fat,0.028589521,Fruits and Vegetables,42.0454,2004,Small,Tier 2,Supermarket Type1
8.8,Low Fat,0.071720362,Snack Foods,210.6612,2009,Medium,Tier 3,Supermarket Type2
7.905,Low Fat,0.09203683,Frozen Foods,110.5254,1998,,Tier 3,Grocery Store
10,Low Fat,0.099649694,Snack Foods,113.7544,1997,Small,Tier 1,Supermarket Type1
,Low Fat,0.099274751,Fruits and Vegetables,115.2518,1985,Medium,Tier 3,Supermarket Type3
15.35,Low Fat,0.020368186,Soft Drinks,216.9508,2002,,Tier 2,Supermarket Type1
19.85,Low Fat,0.176712457,Fruits and Vegetables,222.9772,2009,Medium,Tier 3,Supermarket Type2
17.75,Low Fat,0.034949223,Dairy,250.275,2007,,Tier 2,Supermarket Type1
,Low Fat,0.093315935,Frozen Foods,58.7904,1985,Small,Tier 1,Grocery Store
16.6,Low Fat,0.0163024,Health and Hygiene,109.5596,2007,,Tier 2,Supermarket Type1
5.735,Low Fat,0.05704978,Fruits and Vegetables,175.037,1999,Medium,Tier 1,Supermarket Type1
6.55,Regular,0.034674522,Breads,157.5288,2002,,Tier 2,Supermarket Type1
,Low Fat,0.015470159,Frozen Foods,100.4384,1985,Small,Tier 1,Grocery Store
7.35,Regular,0.014362412,Fruits and Vegetables,241.1512,2004,Small,Tier 2,Supermarket Type1
8.115,Regular,0.032224086,Canned,154.8972,2002,,Tier 2,Supermarket Type1
,LF,0.153585858,Snack Foods,221.1798,1985,Small,Tier 1,Grocery Store
8.05,Regular,0.165013572,Dairy,113.2518,2002,,Tier 2,Supermarket Type1
7.935,Low Fat,0.017226149,Dairy,48.635,2009,Medium,Tier 3,Supermarket Type2
17.25,LF,0.107041738,Frozen Foods,41.2822,1997,Small,Tier 1,Supermarket Type1
8.26,Regular,0.03249201,Soft Drinks,124.773,1999,Medium,Tier 1,Supermarket Type1
,Regular,0.104509448,Frozen Foods,214.7218,1985,Medium,Tier 3,Supermarket Type3
,Regular,0.077636468,Meat,236.2248,1985,Medium,Tier 3,Supermarket Type3
6.52,Low Fat,0.044598726,Canned,167.7842,2004,Small,Tier 2,Supermarket Type1
,Low Fat,0.169493477,Hard Drinks,57.0614,1985,Medium,Tier 3,Supermarket Type3
,Regular,0.051427223,Breads,187.7556,1985,Small,Tier 1,Grocery Store
13.5,Low Fat,0.021492339,Fruits and Vegetables,179.6976,2004,Small,Tier 2,Supermarket Type1
9.1,Regular,0,Frozen Foods,81.9618,2002,,Tier 2,Supermarket Type1
19.2,Regular,0.02304845,Fruits and Vegetables,183.495,2007,,Tier 2,Supermarket Type1
21.35,Low Fat,0.077729209,Fruits and Vegetables,97.0094,2004,Small,Tier 2,Supermarket Type1
8.05,Regular,0.165611092,Dairy,114.2518,2007,,Tier 2,Supermarket Type1
,Low Fat,0.027858864,Breads,230.2668,1985,Small,Tier 1,Grocery Store
12.85,Low Fat,0.033408076,Fruits and Vegetables,195.0768,2007,,Tier 2,Supermarket Type1
9.895,Regular,0.028779079,Canned,114.8492,2002,,Tier 2,Supermarket Type1
20.6,Regular,0.030557961,Dairy,210.2244,1999,Medium,Tier 1,Supermarket Type1
8.985,Regular,0.058154195,Frozen Foods,129.831,2007,,Tier 2,Supermarket Type1
18.25,Low Fat,0.079666936,Frozen Foods,226.9062,2007,,Tier 2,Supermarket Type1
15.1,Low Fat,0.095306027,Baking Goods,157.1604,1999,Medium,Tier 1,Supermarket Type1
,Regular,0.150455041,Snack Foods,170.879,1985,Small,Tier 1,Grocery Store
15.35,Low Fat,0.074731622,Snack Foods,87.883,1999,Medium,Tier 1,Supermarket Type1
,Low Fat,0.268966279,Canned,79.1986,1985,Small,Tier 1,Grocery Store
12,Low Fat,0.104392185,Health and Hygiene,258.8278,1999,Medium,Tier 1,Supermarket Type1
,Low Fat,0.039104567,Frozen Foods,245.3802,1985,Medium,Tier 3,Supermarket Type3
9.195,Regular,0.117963418,Snack Foods,161.1578,2009,Medium,Tier 3,Supermarket Type2
18.2,LF,0,Fruits and Vegetables,195.411,1998,,Tier 3,Grocery Store
18.85,Regular,0.138305372,Snack Foods,251.1724,1997,Small,Tier 1,Supermarket Type1
14.85,Regular,0,Dairy,261.691,1999,Medium,Tier 1,Supermarket Type1
19.85,Regular,0.020994235,Snack Foods,60.7194,2007,,Tier 2,Supermarket Type1
6.13,LF,0.028297924,Household,107.1912,1987,High,Tier 3,Supermarket Type1
,Low Fat,0.049660306,Canned,163.4894,1985,Small,Tier 1,Grocery Store
,Low Fat,0.029637145,Soft Drinks,146.9444,1985,Medium,Tier 3,Supermarket Type3
18.25,Low Fat,0.06049406,Starchy Foods,163.9526,2009,Medium,Tier 3,Supermarket Type2
17.35,Low Fat,0.056146632,Baking Goods,99.5016,2009,Medium,Tier 3,Supermarket Type2
,Low Fat,0.013925484,Soft Drinks,130.1652,1985,Medium,Tier 3,Supermarket Type3
,Low Fat,0.043574485,Household,148.3392,1985,Small,Tier 1,Grocery Store
6.52,Low Fat,0.044676513,Canned,167.6842,1999,Medium,Tier 1,Supermarket Type1
13.65,Regular,0.073025792,Frozen Foods,198.6426,1999,Medium,Tier 1,Supermarket Type1
13.5,Low Fat,0.072816495,Household,157.892,2002,,Tier 2,Supermarket Type1
16,Regular,0.115772125,Fruits and Vegetables,58.9246,1999,Medium,Tier 1,Supermarket Type1
10.6,Low Fat,0.057027285,Dairy,232.3642,2009,Medium,Tier 3,Supermarket Type2
20.85,Low Fat,0,Snack Foods,193.8452,1987,High,Tier 3,Supermarket Type1
7.42,Regular,0.025780862,Snack Foods,187.0872,1999,Medium,Tier 1,Supermarket Type1
14.35,Regular,0.090837986,Frozen Foods,232.7984,1987,High,Tier 3,Supermarket Type1
,Low Fat,0.009991275,Snack Foods,161.5552,1985,Medium,Tier 3,Supermarket Type3
20.7,Low Fat,0.039325397,Household,149.4366,2002,,Tier 2,Supermarket Type1
7.97,Low Fat,0.02156897,Seafood,106.4596,1999,Medium,Tier 1,Supermarket Type1
5,Low Fat,0,Soft Drinks,188.353,1987,High,Tier 3,Supermarket Type1
19.7,Low Fat,0,Soft Drinks,84.2592,2002,,Tier 2,Supermarket Type1
9,Low Fat,0.085883187,Snack Foods,167.4816,1987,High,Tier 3,Supermarket Type1
6.765,Regular,0.087615564,Frozen Foods,104.3306,2009,Medium,Tier 3,Supermarket Type2
4.555,Regular,0.034497126,Frozen Foods,110.3544,2009,Medium,Tier 3,Supermarket Type2
,Regular,0.025800674,Meat,101.6674,1985,Medium,Tier 3,Supermarket Type3
13.15,Regular,0.063525167,Snack Foods,86.3856,1998,,Tier 3,Grocery Store
9.395,Low Fat,0.165907543,Snack Foods,106.528,1998,,Tier 3,Grocery Store
4.88,Regular,0,Baking Goods,54.1298,2002,,Tier 2,Supermarket Type1
10,Low Fat,0.112492619,Snack Foods,237.559,1998,,Tier 3,Grocery Store
10.195,Low Fat,0.159906706,Frozen Foods,141.7154,2004,Small,Tier 2,Supermarket Type1
11.3,Low Fat,0.0479876,Household,180.866,2007,,Tier 2,Supermarket Type1
,Regular,0.062282301,Baking Goods,143.5444,1985,Small,Tier 1,Grocery Store
,Regular,0.03770442,Baking Goods,154.8656,1985,Medium,Tier 3,Supermarket Type3
,Low Fat,0.147355554,Health and Hygiene,107.0938,1985,Medium,Tier 3,Supermarket Type3
20.7,Regular,0.114762583,Dairy,95.1436,2007,,Tier 2,Supermarket Type1
15.35,Low Fat,0.09659331,Soft Drinks,198.2768,2002,,Tier 2,Supermarket Type1
5.44,LF,0.025531593,Dairy,241.5538,2002,,Tier 2,Supermarket Type1
6.715,Regular,0.121586376,Baking Goods,40.0454,1997,Small,Tier 1,Supermarket Type1
14.1,Low Fat,0.066875983,Snack Foods,198.8084,1997,Small,Tier 1,Supermarket Type1
11,Regular,0.088344041,Frozen Foods,158.463,2007,,Tier 2,Supermarket Type1
5.695,Low Fat,0.065535324,Frozen Foods,258.5646,1987,High,Tier 3,Supermarket Type1
17.1,Low Fat,0.054317483,Breads,85.7566,2002,,Tier 2,Supermarket Type1
18.6,Low Fat,0.077011493,Snack Foods,160.5236,2002,,Tier 2,Supermarket Type1
,low fat,0.045448081,Fruits and Vegetables,127.202,1985,Medium,Tier 3,Supermarket Type3
14,Low Fat,0.041374909,Starchy Foods,181.7634,2002,,Tier 2,Supermarket Type1
9.395,reg,0.109005584,Soft Drinks,43.3112,1987,High,Tier 3,Supermarket Type1
9.21,Low Fat,0.008814363,Fruits and Vegetables,122.7414,2007,,Tier 2,Supermarket Type1
16.25,Low Fat,0.057348328,Fruits and Vegetables,123.2046,1987,High,Tier 3,Supermarket Type1
,Low Fat,0.076483451,Household,117.3492,1985,Medium,Tier 3,Supermarket Type3
20.2,Regular,0.039407615,Breakfast,156.563,2009,Medium,Tier 3,Supermarket Type2
,Low Fat,0.104171229,Frozen Foods,122.4072,1985,Medium,Tier 3,Supermarket Type3
,Low Fat,0.03854151,Fruits and Vegetables,117.4808,1985,Medium,Tier 3,Supermarket Type3
17.6,Low Fat,0.105306199,Snack Foods,164.3868,2009,Medium,Tier 3,Supermarket Type2
17.6,Regular,0.07624018,Meat,113.1202,1999,Medium,Tier 1,Supermarket Type1
19.2,LF,0.041461032,Household,129.931,2007,,Tier 2,Supermarket Type1
